RAE(NPL) 5212 AIRFOIL
 1.0000000     0.0000000     11.94
 0.9973900     0.0005098
 0.9929179     0.0014300
 0.9875395     0.0025911
 0.9809295     0.0040789
 0.9726462     0.0060353
 0.9618826     0.0086236
 0.9469458     0.0120426
 0.9265935     0.0164281
 0.9034144     0.0209781
 0.8669241     0.0274647
 0.8201623     0.0353082
 0.7738589     0.0426170
 0.7313937     0.0487458
 0.6882096     0.0544118
 0.6469621     0.0592785
 0.6105758     0.0630444
 0.5774350     0.0659055
 0.5428796     0.0682930
 0.5064148     0.0702289
 0.4701527     0.0715853
 0.4336287     0.0723694
 0.3940934     0.0726171
 0.3554380     0.0723189
 0.3182584     0.0714551
 0.2814530     0.0700409
 0.2467653     0.0681554
 0.2136547     0.0658127
 0.1842088     0.0632277
 0.1591563     0.0605537
 0.1369687     0.0577447
 0.1171179     0.0548415
 0.1016699     0.0523076
 0.0899495     0.0501661
 0.0803189     0.0482174
 0.0720210     0.0463863
 0.0650020     0.0447305
 0.0592178     0.0432949
 0.0544582     0.0420606
 0.0504703     0.0409646
 0.0470439     0.0399570
 0.0440335     0.0390070
 0.0413410     0.0380950
 0.0388985     0.0372085
 0.0366579     0.0363390
 0.0345847     0.0354834
 0.0326553     0.0346417
 0.0308529     0.0338149
 0.0291648     0.0330039
 0.0275810     0.0322082
 0.0260932     0.0314260
 0.0246931     0.0306553
 0.0233733     0.0298946
 0.0221268     0.0291423
 0.0209474     0.0283973
 0.0198294     0.0276589
 0.0187678     0.0269275
 0.0177583     0.0262033
 0.0167971     0.0254863
 0.0158811     0.0247769
 0.0150071     0.0240752
 0.0141726     0.0233814
 0.0133750     0.0226957
 0.0126121     0.0220186
 0.0118819     0.0213505
 0.0111826     0.0206917
 0.0105127     0.0200426
 0.0098706     0.0194035
 0.0092549     0.0187744
 0.0086654     0.0181547
 0.0081021     0.0175425
 0.0075647     0.0169367
 0.0070516     0.0163371
 0.0065610     0.0157442
 0.0060914     0.0151585
 0.0056426     0.0145794
 0.0052149     0.0140061
 0.0048080     0.0134377
 0.0044215     0.0128739
 0.0040546     0.0123147
 0.0037065     0.0117600
 0.0033764     0.0112099
 0.0030639     0.0106645
 0.0027685     0.0101237
