Alpha,NASA SC(2)-0412 T1_Re33.677_M0.22_N9.0, , Alpha,NPL 9510 T1_Re33.677_M0.22_N9.0, , Alpha,RAE 2822 T1_Re33.677_M0.22_N9.0, , Alpha,RAE(NPL) 5212 T1_Re33.677_M0.22_N9.0, , 
         14.2,      1.986679, ,          13.6,      1.878404, ,          14.4,      1.802898, ,          14.2,      1.808383, , 
         14.3,      1.997546, ,          13.7,       1.88953, ,          14.5,      1.809571, ,          14.3,      1.815372, , 
         14.4,      2.008361, ,          13.8,      1.900611, ,          14.6,      1.815557, ,          14.4,      1.822288, , 
         14.5,      2.019116, ,          13.9,      1.911645, ,          14.7,      1.821361, ,          14.5,      1.829383, , 
         14.6,      2.029812, ,            14,      1.922624, ,          14.8,      1.827037, ,          14.6,      1.836355, , 
         14.7,      2.040438, ,          14.1,      1.933545, ,          14.9,      1.832638, ,          14.7,      1.843163, , 
         14.8,      2.050987, ,          14.2,      1.944409, ,            15,      1.837999, ,          14.8,      1.849957, , 
         14.9,      2.061457, ,          14.3,      1.955213, ,          15.1,      1.843281, ,          14.9,      1.856704, , 
           15,      2.071847, ,          14.4,      1.965954, ,          15.2,      1.848692, ,            15,      1.863235, , 
         15.1,      2.082153, ,          14.5,      1.976629, ,          15.3,      1.853301, ,          15.1,      1.869598, , 
         15.2,      2.092367, ,          14.6,      1.987231, ,          15.4,      1.857999, ,          15.2,      1.876074, , 
         15.3,      2.102487, ,          14.7,      1.997751, ,          15.5,      1.863099, ,          15.3,       1.88261, , 
         15.4,      2.112509, ,          14.8,      2.008182, ,          15.6,      1.868382, ,          15.4,      1.889137, , 
         15.5,      2.122429, ,          14.9,      2.018513, ,          15.7,      1.872653, ,          15.5,      1.895318, , 
         15.6,      2.132239, ,            15,      2.028737, ,          15.8,      1.875853, ,          15.6,      1.900903, , 
         15.7,      2.141932, ,          15.1,       2.03882, ,          15.9,       1.88002, ,          15.7,      1.906813, , 
         15.8,      2.151502, ,          15.2,      2.048763, ,            16,      1.884577, ,          15.8,      1.912906, , 
         15.9,       2.16094, ,          15.3,      2.058548, ,          16.1,      1.889261, ,          15.9,      1.918961, , 
           16,      2.170237, ,          15.4,      2.068169, ,          16.2,      1.893765, ,            16,      1.925274, , 
         16.1,      2.179385, ,          15.5,      2.077618, ,          16.3,      1.895458, ,          16.1,      1.930742, , 
         16.2,       2.18837, ,          15.6,      2.087318, ,          16.4,      1.897951, ,          16.2,      1.935067, , 
         16.3,       2.19718, ,          15.7,       2.09694, ,          16.5,       1.90127, ,          16.4,      1.945417, , 
         16.4,      2.205798, ,          15.8,      2.106424, ,          16.6,      1.904751, ,          16.5,      1.951179, , 
         16.5,      2.214208, ,          15.9,      2.115761, ,          16.7,      1.908258, ,          16.6,      1.956716, , 
         16.6,      2.222287, ,            16,      2.124943, ,          16.8,      1.909321, ,          16.7,       1.95897, , 
         16.7,      2.229839, ,          16.1,      2.133957, ,          16.9,       1.91069, ,          16.8,      1.962802, , 
         16.8,      2.237008, ,          16.2,      2.142799, ,            17,       1.91332, ,          16.9,      1.967427, , 
         16.9,      2.244086, ,          16.3,      2.151457, ,          17.1,      1.916217, ,            17,      1.972433, , 
           17,      2.250667, ,          16.4,      2.159915, ,          17.2,      1.918898, ,          17.1,      1.977523, , 
         17.1,      2.256988, ,          16.5,      2.168157, ,          17.3,       1.91763, ,          17.2,      1.990639, , 
         17.2,      2.263114, ,          16.6,      2.176169, ,          17.4,      1.918551, ,          17.4,      2.008411, , 
         17.3,      2.269048, ,          16.7,      2.183935, ,          17.5,      1.920242, ,          17.5,      2.011064, , 
         17.4,      2.273337, ,          16.8,       2.19144, ,          17.6,      1.921955, ,          17.6,      2.018259, , 
         17.5,      2.274885, ,          16.9,      2.198662, ,          17.7,      1.919762, ,          17.7,      2.026476, , 
         17.6,      2.278039, ,            17,      2.205475, ,          17.8,      1.919486, ,          17.8,      2.033268, , 
         17.7,      2.281798, ,          17.1,      2.211476, ,          17.9,      1.919954, ,          17.9,      2.037917, , 
         17.8,      2.285811, ,          17.2,      2.216679, , , , ,            18,      2.042912, , 
         17.9,      2.289853, ,          17.6,      2.226821, , , , ,          18.1,       2.04769, , 
           18,       2.29375, ,          17.7,      2.228121, , , , ,          18.2,      2.052154, , 
         18.1,      2.298097, ,          17.8,      2.229606, , , , ,          18.3,      2.050818, , 
         18.2,       2.30177, ,          17.9,      2.231157, , , , ,          18.4,      2.053128, , 
         18.3,      2.305868, ,            18,      2.232725, , , , ,          18.5,       2.05632, , 
         18.4,      2.309354, ,          18.1,      2.233818, , , , ,          18.6,      2.060308, , 
         18.5,      2.313154, ,          18.2,       2.23537, , , , ,          18.7,      2.064216, , 
         18.6,      2.317238, ,          18.3,      2.235899, , , , ,          18.8,      2.067743, , 
         18.7,       2.31965, ,          18.4,      2.236601, , , , ,          18.9,      2.070858, , 
         18.8,      2.323093, ,          18.5,      2.237912, , , , ,            19,      2.067734, , 
         18.9,      2.327119, ,          18.6,      2.237532, , , , ,          19.1,      2.068905, , 
           19,      2.329375, ,          18.7,      2.237091, , , , ,          19.2,      2.070924, , 
         19.1,      2.331742, ,          18.8,      2.237743, , , , ,          19.3,        2.0735, , 
         19.2,      2.334983, ,          18.9,      2.237934, , , , ,          19.4,      2.076072, , 
         19.3,      2.338412, ,            19,      2.234858, , , , ,          19.5,      2.078173, , 
         19.4,      2.338875, ,          19.1,      2.234094, , , , ,          19.6,      2.073191, , 
         19.5,       2.34103, ,          19.2,      2.233879, , , , ,          19.7,      2.074213, , 
         19.6,      2.343945, ,          19.3,      2.232101, , , , ,          19.8,      2.075511, , 
         19.7,      2.345876, ,          19.4,      2.227549, , , , ,          19.9,      2.076671, , 
         19.8,       2.34534, ,          19.5,      2.225767, , , , ,            20,      2.077513, , 
         19.9,      2.347059, ,          19.6,      2.224326, , , , ,          20.2,      2.070979, , 
           20,      2.349216, ,          19.7,      2.218925, , , , ,          20.3,       2.07155, , 
         20.1,      2.347564, ,          19.8,      2.215055, , , , ,          20.4,      2.071989, , 
         20.2,      2.348106, ,          19.9,      2.212088, , , , ,          20.5,      2.072247, , 
         20.3,      2.349517, ,            20,      2.204946, , , , ,          20.6,       2.06517, , 
         20.4,      2.348113, ,          20.1,      2.200202, , , , ,          20.7,      2.062866, , 
         20.5,      2.346508, ,          20.2,      2.196149, , , , ,          20.8,       2.06162, , 
         20.6,      2.346733, ,          20.3,      2.187159, , , , ,          20.9,      2.060247, , 
         20.7,      2.344811, ,          20.4,      2.181892, , , , ,            21,      2.051325, , 
         20.8,        2.3418, ,          20.5,      2.171961, , , , ,          21.1,      2.047603, , 
         20.9,      2.341224, ,          20.6,      2.165251, , , , , , , , 
           21,      2.337002, ,          20.7,      2.154284, , , , , , , , 
         21.1,      2.334268, ,          20.8,      2.145845, , , , , , , , 
         21.2,      2.332803, ,          20.9,      2.133708, , , , , , , , 
         21.3,      2.325853, , , , , , , , , , , 
         21.4,      2.323154, , , , , , , , , , , 
         21.5,      2.317423, , , , , , , , , , , 
         21.6,      2.314012, , , , , , , , , , , 
         21.7,      2.307536, , , , , , , , , , , 
         21.8,      2.303227, , , , , , , , , , , 
         21.9,      2.294668, , , , , , , , , , , 
           22,      2.289849, , , , , , , , , , , 
         22.1,      2.278948, , , , , , , , , , , 
         22.2,      2.267587, , , , , , , , , , , 
         22.3,      2.260351, , , , , , , , , , , 
         22.4,      2.245551, , , , , , , , , , , 
         22.5,      2.230534, , , , , , , , , , , 
         22.6,      2.219918, , , , , , , , , , , 
         22.7,      2.199365, , , , , , , , , , , 
         22.8,      2.176238, , , , , , , , , , , 
         22.9,      2.149769, , , , , , , , , , , 
           23,      2.119639, , , , , , , , , , , 
         23.1,      2.084111, , , , , , , , , , , 
         23.2,      2.042547, , , , , , , , , , , 
         23.3,      1.964414, , , , , , , , , , , 
         23.4,      1.843652, , , , , , , , , , , 

