Alpha,NASA SC(2)-0412 T1_Re33.677_M0.22_N9.0, , Alpha,NPL 9510 T1_Re33.677_M0.22_N9.0, , Alpha,RAE 2822 T1_Re33.677_M0.22_N9.0, , Alpha,RAE(NPL) 5212 T1_Re33.677_M0.22_N9.0, , 
         -4.7,    -0.3072675, ,          -5.3,    -0.3896727, ,          -4.8,    -0.3277159, ,            -5,     -0.270387, , 
         -4.6,    -0.2945724, ,          -5.2,    -0.3774057, ,          -4.7,    -0.3163624, ,          -4.8,    -0.2478359, , 
         -4.5,    -0.2820607, ,          -5.1,     -0.365213, ,          -4.6,     -0.304841, ,          -4.6,    -0.2247548, , 
         -4.3,    -0.2569241, ,            -5,    -0.3530157, ,          -4.5,    -0.2931457, ,          -4.5,    -0.2130291, , 
         -4.1,    -0.2318551, ,          -4.8,    -0.3285368, ,          -4.4,    -0.2813221, ,          -4.4,    -0.2013628, , 
           -4,     -0.219251, ,          -4.7,    -0.3162888, ,          -4.3,    -0.2694939, ,          -4.3,    -0.1902191, , 
         -3.9,     -0.206781, ,          -4.6,    -0.3040231, ,          -4.2,    -0.2577929, ,          -4.2,    -0.1787958, , 
         -3.8,    -0.1941496, ,          -4.5,    -0.2919832, ,          -4.1,    -0.2463648, ,          -4.1,    -0.1671524, , 
         -3.7,    -0.1815467, ,          -4.4,    -0.2798484, ,            -4,    -0.2349836, ,          -3.9,    -0.1451306, , 
         -3.6,     -0.168989, ,          -4.3,    -0.2675654, ,          -3.9,    -0.2233471, ,          -3.8,    -0.1341506, , 
         -3.5,    -0.1564346, ,          -4.1,    -0.2430205, ,          -3.8,     -0.211556, ,          -3.7,    -0.1233382, , 
         -3.4,    -0.1438162, ,            -4,    -0.2306643, ,          -3.7,    -0.1997648, ,          -3.6,    -0.1127064, , 
         -3.3,    -0.1313377, ,          -3.9,     -0.218652, ,          -3.6,    -0.1882102, ,          -3.4,   -0.09069829, , 
         -3.2,    -0.1187499, ,          -3.8,    -0.2064421, ,          -3.5,    -0.1770397, ,          -3.3,   -0.07934039, , 
         -3.1,    -0.1061676, ,          -3.6,    -0.1825397, ,          -3.4,    -0.1654636, ,          -3.2,   -0.06838028, , 
           -3,   -0.09374051, ,          -3.5,     -0.170457, ,          -3.3,    -0.1536614, ,          -3.1,   -0.05730402, , 
         -2.9,   -0.08125028, ,          -3.4,    -0.1583031, ,          -3.2,    -0.1421094, ,            -3,   -0.04621598, , 
         -2.8,   -0.06868287, ,          -3.3,    -0.1461649, ,          -3.1,    -0.1309845, ,          -2.9,   -0.03516355, , 
         -2.7,   -0.05611483, ,          -3.2,    -0.1339786, ,            -3,    -0.1194418, ,          -2.7,   -0.01233544, , 
         -2.5,   -0.03112318, ,          -3.1,     -0.121598, ,          -2.8,   -0.09656522, ,          -2.6,  -0.001101464, , 
         -2.4,   -0.01869675, ,            -3,    -0.1093022, ,          -2.7,   -0.08515397, ,          -2.5,    0.01044529, , 
         -2.3,  -0.006023957, ,          -2.9,   -0.09718956, ,          -2.5,   -0.06248464, ,          -2.4,    0.02208158, , 
         -2.2,   0.006643648, ,          -2.8,    -0.0848376, ,          -2.4,   -0.05101275, ,          -2.3,    0.03332052, , 
         -2.1,    0.01919778, ,          -2.6,   -0.06025968, ,          -2.3,    -0.0397618, ,          -2.2,    0.04440137, , 
           -2,    0.03187209, ,          -2.5,   -0.04788714, ,          -2.2,   -0.02852234, ,          -2.1,    0.05590834, , 
