Alpha,T1_Re30.000_M0.20_N9.0, , Alpha,T1_Re30.000_M0.20_N9.0, , Alpha,T1_Re30.000_M0.20_N9.0, , Alpha,T1_Re30.000_M0.20_N9.0, , 
          3.5,     0.7205016, ,           3.5,     0.6811865, ,           9.5,      1.297068, ,            11,      1.511691, , 
            4,     0.7812993, ,             4,     0.7410788, ,            10,      1.351316, ,          11.5,      1.560032, , 
          4.5,     0.8416084, ,           4.5,     0.8009901, ,          10.5,      1.405033, ,            12,      1.608768, , 
            5,     0.9017187, ,           5.5,     0.9199385, ,            11,      1.458032, ,          12.5,      1.656663, , 
          5.5,     0.9619618, ,             6,     0.9792684, ,          11.5,      1.510227, ,            13,      1.702781, , 
            6,      1.022042, ,           6.5,      1.038562, ,            12,      1.561765, ,          13.5,      1.744269, , 
          6.5,      1.081776, ,             7,      1.097862, ,          12.5,      1.611696, ,            14,      1.779685, , 
            7,       1.14133, ,           7.5,      1.156903, ,            13,      1.660929, ,          14.5,      1.814541, , 
          7.5,      1.200716, ,             8,      1.215647, ,          13.5,      1.707854, ,            15,      1.848194, , 
            8,       1.26003, ,           8.5,      1.274263, ,            14,      1.752776, ,          15.5,      1.880136, , 
          8.5,      1.319246, ,             9,      1.332647, ,          14.5,      1.794609, ,            16,      1.908977, , 
            9,      1.378048, ,           9.5,      1.391016, ,            15,      1.823663, ,          16.5,      1.934711, , 
          9.5,       1.43662, ,            10,      1.448934, ,          15.5,      1.849013, ,            17,      1.969564, , 
           10,      1.494673, ,          10.5,      1.506971, ,            16,      1.872262, ,          17.5,       1.99922, , 
         10.5,      1.552685, ,            11,      1.564723, ,          16.5,      1.892965, ,            18,       2.02187, , 
           11,       1.61006, ,          11.5,      1.621694, ,            17,      1.909225, ,          18.5,      2.037829, , 
         11.5,      1.667176, ,            12,      1.678461, ,          17.5,      1.918338, ,            19,      2.054986, , 
           12,      1.723912, ,          12.5,      1.734801, ,            18,      1.920997, ,          19.5,      2.061525, , 
         12.5,      1.779844, ,            13,      1.790283, ,          18.5,      1.921168, ,            20,      2.062358, , 
           13,      1.835245, ,          13.5,      1.844594, ,            19,      1.916064, ,          20.5,      2.059094, , 
         13.5,      1.890252, ,            14,      1.898734, ,          19.5,      1.899445, ,            21,      2.048261, , 
           14,      1.944174, ,          14.5,      1.951971, ,            20,      1.875197, ,          21.5,      2.025532, , 
         14.5,      1.996523, ,            15,      2.003502, ,          20.5,      1.839558, ,            22,      1.988057, , 
           15,      2.047421, ,          15.5,      2.052716, ,            21,      1.783101, ,          22.5,      1.937766, , 
         15.5,      2.097221, ,            16,       2.09891, , , , ,            23,      1.871279, , 
           16,        2.1447, ,          16.5,      2.141924, , , , ,          23.5,       1.75865, , 
         16.5,      2.188941, ,            17,      2.182097, , , , , , , , 
           17,      2.227114, ,          17.5,      2.213441, , , , , , , , 
         17.5,      2.254988, ,            18,      2.225993, , , , , , , , 
           18,      2.270365, ,          18.5,       2.23683, , , , , , , , 
         18.5,      2.290265, ,            19,      2.242833, , , , , , , , 
           19,      2.307428, ,          19.5,      2.243957, , , , , , , , 
         19.5,      2.322608, ,            20,      2.238972, , , , , , , , 
           20,       2.33016, ,          20.5,      2.221309, , , , , , , , 
         20.5,      2.334968, , , , , , , , , , , 
           21,      2.329929, , , , , , , , , , , 
         21.5,      2.320623, , , , , , , , , , , 
           22,      2.294589, , , , , , , , , , , 
         22.5,      2.251973, , , , , , , , , , , 
           23,      2.183405, , , , , , , , , , , 
         23.5,      2.038276, , , , , , , , , , , 
         24.5,      1.419845, , , , , , , , , , , 
           25,      1.399364, , , , , , , , , , , 

